carat colour clarity cut cost certificate       
0.412 	D 	VVS2 	3EX  	145970 	
0.408 	D 	VVS2 	3EX  	152610 	sold
0.407 	D 	VVS2 	3EX  	143760 	
0.407 	D 	VVS2 	3EX  	143760 	
0.403 	D 	VVS2 	3EX  	153340 	
0.434 	D 	VS1 	3EX  	135650 	
0.415 	D 	VS1 	3EX  	135650 	GIA 
0.407 	D 	VS1 	3EX  	127540 	
0.430 	D 	VS2 	3EX  	120170 	
0.425 	D 	VS2 	3EX  	133440 	
0.421 	D 	VS2 	3EX  	120170 	
0.409 	D 	VS2 	3EX  	114270 	
0.407 	D 	VS2 	3EX  	117220 	
0.403 	D 	VS2 	3EX  	123850 	sold
0.403 	D 	VS2 	3EX  	123850 	
0.402 	D 	VS2 	3EX  	126070 	
0.417 	D 	SI1 	3EX  	110580 	
0.411 	D 	SI1 	3EX  	112060 	
0.410 	D 	SI1 	3EX  	109110 	
0.404 	D 	SI1 	3EX  	107640 	
0.402 	D 	SI1 	3EX  	106900 	
0.461 	E 	IF 	3EX  	257290 	GIA 
0.443 	E 	IF 	3EX  	246970 	
0.425 	E 	VVS1 	3EX  	162190 	GIA 
0.421 	E 	VVS1 	3EX  	148920 	
0.416 	E 	VVS1 	3EX  	147440 	
0.414 	E 	VVS1 	3EX  	146710 	
0.411 	E 	VVS1 	3EX  	145230 	sold
0.403 	E 	VVS1 	3EX  	143020 	
0.457 	E 	VVS2 	3EX  	158500 	sold
0.412 	E 	VVS2 	3EX  	134910 	
0.421 	E 	VS1 	3EX  	120170 	
0.420 	E 	VS1 	3EX  	120170 	sold
0.416 	E 	VS1 	3EX  	118690 	
0.414 	E 	VS1 	3EX  	118690 	
0.411 	E 	VS1 	3EX  	122380 	GIA 
0.412 	E 	VS1 	3EX  	117960 	sold
0.409 	E 	VS1 	3EX  	125330 	GIA 
0.408 	E 	VS1 	3EX  	116480 	
0.430 	E 	VS2 	3EX  	111320 	
0.430 	E 	VS2 	3EX  	114270 	sold
0.430 	E 	VS2 	3EX  	114270 	
0.427 	E 	VS2 	3EX  	116480 	
0.426 	E 	VS2 	3EX  	113530 	
0.410 	E 	VS2 	3EX  	109110 	sold
0.405 	E 	VS2 	3EX  	107640 	
0.403 	E 	VS2 	3EX  	109850 	
0.402 	E 	VS2 	3EX  	115010 	GIA 
0.448 	E 	SI1 	3EX  	103950 	sold
0.438 	E 	SI1 	3EX  	104690 	
0.436 	E 	SI1 	3EX  	103950 	
0.418 	E 	SI1 	3EX  	99530 	
0.418 	E 	SI1 	3EX  	99530 	
0.408 	E 	SI1 	3EX  	97320 	
0.402 	E 	SI1 	3EX  	92890 	
0.404 	E 	SI2 	3EX  	82570 	
0.456 	F 	IF 	3EX  	185780 	
0.437 	F 	IF 	3EX  	178410 	GIA 
0.404 	F 	IF 	3EX  	159240 	
0.427 	F 	VVS1 	3EX  	133440 	
0.415 	F 	VVS1 	3EX  	129750 	
0.414 	F 	VVS1 	3EX  	129750 	
0.414 	F 	VVS1 	3EX  	129750 	
0.407 	F 	VVS1 	3EX  	138600 	GIA 
0.404 	F 	VVS1 	3EX  	129010 	GIA 
0.403 	F 	VVS1 	3EX  	126070 	
0.439 	F 	VVS2 	3EX  	125330 	sold
0.420 	F 	VVS2 	3EX  	131230 	
0.420 	F 	VVS2 	3EX  	131230 	
0.406 	F 	VVS2 	3EX  	127540 	
0.405 	F 	VVS2 	3EX  	134910 	GIA 
0.415 	F 	VS1 	3EX  	108370 	
0.404 	F 	VS1 	3EX  	105420 	
0.432 	F 	VS2 	3EX  	109850 	sold
0.429 	F 	VS2 	3EX  	108370 	
0.412 	F 	VS2 	3EX  	106900 	
0.403 	F 	VS2 	3EX  	104690 	
0.423 	F 	SI1 	3EX  	92150 	
0.418 	F 	SI1 	3EX  	85520 	
0.407 	F 	SI1 	3EX  	88470 	
0.402 	F 	SI1 	3EX  	87730 	
0.436 	F 	SI2 	3EX  	86260 	
0.410 	F 	SI2 	3EX  	75200 	
0.406 	F 	SI2 	3EX  	74460 	sold
0.418 	G 	VVS1 	3EX  	131230 	
0.413 	G 	VVS1 	3EX  	129010 	
0.412 	G 	VVS1 	3EX  	129010 	
0.406 	G 	VVS1 	3EX  	127540 	
0.401 	G 	VVS1 	3EX  	125330 	
0.426 	G 	VVS2 	3EX  	110580 	
0.425 	G 	VVS2 	3EX  	109850 	
0.424 	G 	VVS2 	3EX  	112800 	GIA 
0.416 	G 	VVS2 	3EX  	107640 	
0.409 	G 	VVS2 	3EX  	103210 	
0.424 	G 	VS1 	3EX  	103950 	
0.424 	G 	VS1 	3EX  	103950 	
0.415 	G 	VS1 	3EX  	95840 	
0.415 	G 	VS1 	3EX  	97320 	
0.407 	G 	VS1 	3EX  	99530 	
0.405 	G 	VS1 	3EX  	107640 	GIA 
0.403 	G 	VS1 	3EX  	94370 	
0.435 	G 	VS2 	3EX  	89210 	
0.432 	G 	VS2 	3EX  	92890 	
0.409 	G 	VS2 	3EX  	86260 	
0.409 	G 	VS2 	3EX  	88470 	
0.414 	G 	SI1 	3EX  	84780 	
0.412 	G 	SI1 	3EX  	81830 	
0.410 	G 	SI1 	3EX  	81100 	
0.402 	G 	SI1 	3EX  	82570 	
0.446 	G 	SI2 	3EX  	85520 	
0.420 	G 	SI2 	3EX  	80360 	
0.412 	G 	SI2 	3EX  	78890 	
0.423 	H 	VVS1 	3EX  	115010 	
0.440 	H 	VVS2 	3EX  	113530 	
0.411 	H 	VVS2 	3EX  	106160 	
0.458 	H 	VS1 	3EX  	112060 	
0.421 	H 	VS1 	3EX  	93630 	
0.406 	H 	VS1 	3EX  	88470 	
0.428 	H 	VS2 	3EX  	90680 	GIA 
0.414 	H 	VS2 	3EX  	84780 	
0.407 	H 	VS2 	3EX  	83310 	
0.405 	H 	VS2 	3EX  	82570 	
0.411 	H 	SI1 	3EX  	78150 	
0.386 	D 	FL 	3EX  	325110 	
0.305 	D 	FL 	3EX  	252860 	sold
0.383 	D 	IF 	3EX  	182090 	
0.362 	D 	IF 	3EX  	182090 	GIA 
0.360 	D 	IF 	3EX  	181360 	GIA 
0.356 	D 	IF 	3EX  	181360 	sold
0.355 	D 	IF 	3EX  	168820 	
0.344 	D 	IF 	3EX  	163660 	
0.334 	D 	IF 	3EX  	159240 	
0.325 	D 	IF 	3EX  	154820 	
0.318 	D 	IF 	3EX  	151870 	
0.317 	D 	IF 	3EX  	148920 	
0.314 	D 	IF 	3EX  	158500 	sold
0.311 	D 	IF 	3EX  	156290 	GIA 
0.309 	D 	IF 	3EX  	157770 	sold
0.306 	D 	IF 	3EX  	154080 	
0.305 	D 	IF 	3EX  	145230 	sold
0.304 	D 	IF 	3EX  	154080 	GIA 
0.344 	D 	VVS1 	3EX  	121640 	sold
0.344 	D 	VVS1 	3EX  	121640 	
0.339 	D 	VVS1 	3EX  	120170 	sold
0.338 	D 	VVS1 	3EX  	119430 	
0.334 	D 	VVS1 	3EX  	125330 	GIA 
0.324 	D 	VVS1 	3EX  	121640 	GIA 
0.322 	D 	VVS1 	3EX  	120910 	GIA 
0.320 	D 	VVS1 	3EX  	113530 	
0.318 	D 	VVS1 	3EX  	112800 	sold
0.317 	D 	VVS1 	3EX  	112060 	sold
0.314 	D 	VVS1 	3EX  	111320 	
0.313 	D 	VVS1 	3EX  	110580 	
0.313 	D 	VVS1 	3EX  	110580 	
0.311 	D 	VVS1 	3EX  	116480 	GIA 
0.310 	D 	VVS1 	3EX  	109850 	
0.308 	D 	VVS1 	3EX  	115750 	GIA 
0.308 	D 	VVS1 	3EX  	111320 	
0.385 	D 	VVS2 	3EX  	136390 	GIA 
0.377 	D 	VVS2 	3EX  	133440 	GIA 
0.373 	D 	VVS2 	3EX  	131960 	GIA 
0.366 	D 	VVS2 	3EX  	129750 	GIA 
0.359 	D 	VVS2 	3EX  	112800 	
0.356 	D 	VVS2 	3EX  	126070 	GIA 
0.354 	D 	VVS2 	3EX  	110580 	
0.350 	D 	VVS2 	3EX  	109850 	
0.344 	D 	VVS2 	3EX  	107640 	sold
0.337 	D 	VVS2 	3EX  	105420 	
0.334 	D 	VVS2 	3EX  	104690 	
0.322 	D 	IF 	3EX  	162190 	GIA 
0.319 	D 	VVS2 	3EX  	100260 	
0.313 	D 	VVS2 	3EX  	98050 	
0.380 	D 	VS1 	3EX  	118690 	GIA 
0.371 	D 	VS1 	3EX  	103950 	
0.363 	D 	VS1 	3EX  	101740 	sold
0.355 	D 	VS1 	3EX  	111320 	GIA 
0.340 	D 	VS1 	3EX  	106900 	GIA 
0.321 	D 	VS1 	3EX  	89940 	
0.318 	D 	VS1 	3EX  	89210 	
0.317 	D 	VS1 	3EX  	90680 	
0.312 	D 	VS1 	3EX  	86990 	
0.305 	D 	VS1 	3EX  	95840 	GIA 
0.304 	D 	VS1 	3EX  	84780 	sold
0.303 	D 	VS1 	3EX  	95100 	GIA 
0.381 	D 	VS2 	3EX  	109110 	GIA 
0.374 	D 	VS2 	3EX  	106900 	sold
0.374 	D 	VS2 	3EX  	106900 	GIA 
0.339 	D 	VS2 	3EX  	83310 	
0.337 	D 	VS2 	3EX  	82570 	
0.334 	D 	VS2 	3EX  	84050 	GIA 
0.318 	D 	VS2 	3EX  	78150 	
0.302 	D 	VS2 	3EX  	75940 	GIA 
0.336 	D 	SI1 	3EX  	70780 	
0.335 	D 	SI1 	3EX  	70780 	
0.329 	D 	SI1 	3EX  	69300 	
0.314 	D 	SI1 	3EX  	68560 	sold
0.306 	D 	SI1 	3EX  	64880 	
0.324 	D 	SI2 	3EX  	64140 	
0.310 	D 	SI2 	3EX  	61190 	
0.310 	D 	SI2 	3EX  	57510 	
0.304 	D 	SI2 	3EX  	60460 	
0.384 	E 	IF 	3EX  	154080 	GIA 
0.379 	E 	IF 	3EX  	151870 	GIA 
0.376 	E 	IF 	3EX  	151130 	GIA 
0.375 	E 	IF 	3EX  	150390 	GIA 
0.368 	E 	IF 	3EX  	147440 	GIA 
0.358 	E 	IF 	3EX  	143760 	GIA 
0.354 	E 	IF 	3EX  	142280 	GIA 
0.348 	E 	IF 	3EX  	140070 	GIA 
0.335 	E 	IF 	3EX  	134910 	GIA 
0.397 	E 	VVS1 	3EX  	140810 	GIA 
0.390 	E 	VVS1 	3EX  	137860 	GIA 
0.390 	E 	VVS1 	3EX  	137860 	GIA 
0.385 	E 	VVS1 	3EX  	136390 	GIA 
0.383 	E 	VVS1 	3EX  	135650 	GIA 
0.379 	E 	VVS1 	3EX  	118690 	
0.363 	E 	VVS1 	3EX  	128280 	GIA 
0.313 	E 	VVS1 	3EX  	98790 	
0.309 	E 	VVS1 	3EX  	97320 	
0.303 	E 	VVS1 	3EX  	95100 	
0.392 	E 	VVS2 	3EX  	130490 	GIA 
0.390 	E 	VVS2 	3EX  	130490 	GIA 
0.388 	E 	VVS2 	3EX  	126070 	GIA 
0.385 	E 	VVS2 	3EX  	124590 	GIA 
0.364 	E 	VVS2 	3EX  	117960 	GIA 
0.351 	E 	VVS2 	3EX  	113530 	GIA 
0.350 	E 	VVS2 	3EX  	113530 	GIA 
0.337 	E 	VVS2 	3EX  	92150 	sold
0.328 	E 	VVS2 	3EX  	93630 	
0.318 	E 	VVS2 	3EX  	91420 	
0.313 	E 	VVS2 	3EX  	101740 	GIA 
0.313 	E 	VVS2 	3EX  	85520 	
0.307 	E 	VVS2 	3EX  	99530 	GIA 
0.302 	E 	VVS2 	3EX  	98050 	GIA 
0.301 	E 	VVS2 	3EX  	81830 	
0.384 	E 	VS1 	3EX  	109850 	GIA 
0.382 	E 	VS1 	3EX  	109110 	GIA 
0.361 	E 	VS1 	3EX  	103210 	GIA 
0.360 	E 	VS1 	3EX  	88470 	
0.341 	E 	VS1 	3EX  	97320 	GIA 
0.335 	E 	VS1 	3EX  	91420 	GIA 
0.327 	E 	VS1 	3EX  	80360 	
0.301 	E 	VS1 	3EX  	81830 	GIA 
0.380 	E 	VS2 	3EX  	98050 	sold
0.372 	E 	VS2 	3EX  	81100 	
0.369 	E 	VS2 	3EX  	81830 	
0.367 	E 	VS2 	3EX  	80360 	
0.364 	E 	VS2 	3EX  	94370 	sold
0.361 	E 	VS2 	3EX  	93630 	GIA 
0.350 	E 	VS2 	3EX  	78150 	sold
0.347 	E 	VS2 	3EX  	79620 	
0.334 	E 	VS2 	3EX  	70780 	
0.333 	E 	VS2 	3EX  	75200 	
0.318 	E 	VS2 	3EX  	73720 	
0.317 	E 	VS2 	3EX  	70780 	sold
0.316 	E 	VS2 	3EX  	69300 	
0.314 	E 	VS2 	3EX  	72990 	
0.305 	E 	VS2 	3EX  	67830 	
0.304 	E 	VS2 	3EX  	68560 	sold
0.371 	E 	SI1 	3EX  	73720 	
0.363 	E 	SI1 	3EX  	71510 	sold
0.357 	E 	SI1 	3EX  	75200 	GIA 
0.330 	E 	SI1 	3EX  	67830 	
0.327 	E 	SI1 	3EX  	67830 	
0.314 	E 	SI1 	3EX  	61930 	
0.307 	E 	SI1 	3EX  	60460 	
0.307 	E 	SI1 	3EX  	60460 	
0.302 	E 	SI1 	3EX  	59720 	
0.358 	E 	SI2 	3EX  	66350 	
0.308 	E 	SI2 	3EX  	52350 	
0.307 	E 	SI2 	3EX  	56770 	
0.304 	E 	SI2 	3EX  	51610 	
0.387 	F 	IF 	3EX  	126800 	GIA 
0.382 	F 	IF 	3EX  	134910 	GIA 
0.343 	F 	IF 	3EX  	112060 	GIA 
0.313 	F 	IF 	3EX  	110580 	GIA 
0.393 	F 	VVS1 	3EX  	120170 	GIA 
0.387 	F 	VVS1 	3EX  	115750 	GIA 
0.382 	F 	VVS1 	3EX  	114270 	GIA 
0.374 	F 	VVS1 	3EX  	112060 	GIA 
0.352 	F 	VVS1 	3EX  	105420 	GIA 
0.328 	F 	VVS1 	3EX  	93630 	
0.374 	F 	VVS1 	3EX  	124590 	GIA 
0.368 	F 	VVS1 	3EX  	110580 	GIA 
0.328 	F 	VVS1 	3EX  	93630 	
0.310 	F 	VVS1 	3EX  	86990 	
0.302 	F 	VVS1 	3EX  	84780 	
0.388 	F 	VVS2 	3EX  	111320 	GIA 
0.384 	F 	VVS2 	3EX  	109850 	GIA 
0.373 	F 	VVS2 	3EX  	106900 	GIA 
0.359 	F 	VVS2 	3EX  	92890 	
0.339 	F 	VVS2 	3EX  	87730 	
0.332 	F 	VVS2 	3EX  	86260 	
0.330 	F 	VVS2 	3EX  	84780 	
0.325 	F 	VVS2 	3EX  	88470 	GIA 
0.313 	F 	VVS2 	3EX  	91420 	GIA 
0.309 	F 	VVS2 	3EX  	90680 	GIA 
0.307 	F 	VVS2 	3EX  	89940 	GIA 
0.301 	F 	VVS2 	3EX  	88470 	GIA 
0.384 	F 	VS1 	3EX  	101740 	GIA 
0.361 	F 	VS1 	3EX  	95840 	GIA 
0.346 	F 	VS1 	3EX  	80360 	
0.342 	F 	VS1 	3EX  	79620 	
0.335 	F 	VS1 	3EX  	77410 	sold
0.329 	F 	VS1 	3EX  	76670 	
0.326 	F 	VS1 	3EX  	75940 	sold
0.318 	F 	VS1 	3EX  	75200 	sold
0.306 	F 	VS1 	3EX  	75200 	
0.358 	F 	VS2 	3EX  	75940 	
0.356 	F 	VS2 	3EX  	77410 	
0.355 	F 	VS2 	3EX  	82570 	GIA 
0.354 	F 	VS2 	3EX  	75200 	sold
0.336 	F 	VS2 	3EX  	74460 	
0.319 	F 	VS2 	3EX  	73720 	GIA 
0.313 	F 	VS2 	3EX  	72990 	GIA 
0.378 	F 	SI1 	3EX  	69300 	
0.378 	F 	SI1 	3EX  	69300 	sold
0.368 	F 	SI1 	3EX  	70040 	GIA 
0.362 	F 	SI1 	3EX  	67090 	sold
0.335 	F 	SI1 	3EX  	61930 	
0.318 	F 	SI1 	3EX  	58980 	
0.309 	F 	SI1 	3EX  	56770 	
0.308 	F 	SI1 	3EX  	56770 	
0.307 	F 	SI1 	3EX  	56770 	sold
0.306 	F 	SI1 	3EX  	56770 	sold
0.303 	F 	SI1 	3EX  	56030 	sold
0.375 	F 	SI2 	3EX  	64140 	sold
0.357 	F 	SI2 	3EX  	63400 	
0.335 	F 	SI2 	3EX  	59720 	
0.310 	F 	SI2 	3EX  	55290 	sold
0.310 	F 	SI2 	3EX  	50870 	
0.305 	F 	SI2 	3EX  	54560 	
0.376 	G 	IF 	3EX  	112800 	GIA 
0.368 	G 	IF 	3EX  	110580 	GIA 
0.346 	G 	IF 	3EX  	103950 	GIA 
0.305 	G 	IF 	3EX  	91420 	GIA 
0.385 	G 	VVS1 	3EX  	104690 	GIA 
0.380 	G 	VVS1 	3EX  	103210 	GIA 
0.376 	G 	VVS1 	3EX  	102480 	
0.341 	G 	VVS1 	3EX  	92890 	sold
0.339 	G 	VVS1 	3EX  	97320 	
0.310 	G 	VVS1 	3EX  	82570 	
0.333 	G 	VVS2 	3EX  	77410 	sold
0.332 	G 	VVS2 	3EX  	74460 	sold
0.332 	G 	VVS2 	3EX  	76670 	
0.320 	G 	VVS2 	3EX  	72250 	
0.309 	G 	VVS2 	3EX  	69300 	
0.387 	G 	VS1 	3EX  	86990 	GIA 
0.362 	G 	VS1 	3EX  	74460 	
0.355 	G 	VS1 	3EX  	72990 	sold
0.350 	G 	VS1 	3EX  	70040 	
0.345 	G 	VS1 	3EX  	70780 	
0.340 	G 	VS1 	3EX  	69300 	sold
0.336 	G 	VS1 	3EX  	68560 	
0.317 	G 	VS1 	3EX  	67090 	
0.310 	G 	VS1 	3EX  	63400 	
0.303 	G 	VS1 	3EX  	64140 	
0.327 	G 	VS2 	3EX  	61190 	
0.323 	G 	VS2 	3EX  	66350 	
0.317 	G 	VS2 	3EX  	64880 	
0.311 	G 	VS2 	3EX  	63400 	
0.310 	G 	VS2 	3EX  	63400 	sold
0.381 	G 	SI1 	3EX  	67830 	
0.349 	G 	SI1 	3EX  	61930 	sold
0.345 	G 	SI1 	3EX  	61190 	
0.338 	G 	SI1 	3EX  	57510 	
0.336 	G 	SI1 	3EX  	57510 	
0.322 	G 	SI1 	3EX  	57510 	
0.318 	G 	SI1 	3EX  	56770 	sold
0.317 	G 	SI1 	3EX  	56030 	sold
0.303 	G 	SI1 	3EX  	53820 	sold
0.303 	G 	SI1 	3EX  	53820 	
0.369 	G 	SI2 	3EX  	62670 	
0.343 	G 	SI2 	3EX  	58240 	
0.331 	G 	SI2 	3EX  	56770 	
0.314 	G 	SI2 	3EX  	53820 	
0.308 	G 	SI2 	3EX  	52350 	sold
0.355 	H 	VVS2 	3EX  	72990 	
0.392 	H 	VS1 	3EX  	85520 	GIA 
0.365 	H 	VS1 	3EX  	77410 	GIA 
0.355 	H 	VS1 	3EX  	75200 	GIA 
0.350 	H 	VS1 	3EX  	73720 	GIA 
0.375 	H 	VS2 	3EX  	79620 	GIA 
0.330 	H 	VS2 	3EX  	65620 	GIA 
0.326 	H 	VS2 	3EX  	60460 	
0.317 	H 	VS2 	3EX  	58240 	
0.309 	H 	VS2 	3EX  	56770 	
0.307 	H 	VS2 	3EX  	56770 	
0.341 	H 	SI1 	3EX  	56030 	
0.336 	H 	SI1 	3EX  	55290 	
0.332 	H 	SI1 	3EX  	54560 	
0.330 	H 	SI1 	3EX  	53820 	
0.321 	H 	SI1 	3EX  	52350 	sold
0.302 	H 	SI1 	3EX  	49400 	sold
0.383 	H 	SI2 	3EX  	60460 	
0.359 	H 	SI2 	3EX  	56770 	
0.334 	H 	SI2 	3EX  	52350 	sold
0.333 	H 	SI2 	3EX  	52350 	
0.316 	H 	SI2 	3EX  	49400 	sold
0.278 	D 	IF 	3EX  	120910 	
0.273 	D 	IF 	3EX  	118690 	
0.270 	D 	IF 	3EX  	123120 	GIA 
0.229 	D 	VVS1 	3EX  	78150 	
0.221 	D 	VVS1 	3EX  	75200 	
0.200 	D 	VVS1 	3EX  	68560 	
0.229 	D 	VVS2 	3EX  	62670 	
0.229 	D 	VVS2 	3EX  	62670 	
0.222 	D 	VVS2 	3EX  	60460 	
0.219 	D 	VVS2 	3EX  	59720 	
0.245 	D 	VS1 	3EX  	63400 	
0.239 	D 	VS1 	3EX  	53820 	
0.214 	D 	VS1 	3EX  	50870 	sold
0.268 	D 	VS2 	3EX  	61930 	
0.257 	D 	VS2 	3EX  	59720 	sold
0.220 	D 	VS2 	3EX  	50870 	
