carat colour clarity cut cost certificate       
2.098 	D 	SI1 	3EX  	3140480 	
0.711 	F 	SI1 	3EX  	319210 	
0.707 	G 	VVS2 	3EX  	393670 	GIA 
0.707 	G 	VVS2 	3EX  	393670 	GIA 
0.703 	G 	VVS2 	3EX  	353860 	
0.731 	G 	VS1 	3EX  	328060 	
0.719 	G 	VS1 	3EX  	322900 	
0.711 	G 	VS1 	3EX  	342800 	GIA 
0.744 	G 	VS2 	3EX  	323640 	sold
0.735 	G 	VS2 	3EX  	314790 	
0.717 	G 	VS2 	3EX  	321420 	
0.705 	G 	VS2 	3EX  	316260 	
0.736 	G 	SI1 	3EX  	274980 	
0.702 	G 	SI1 	3EX  	276450 	
0.752 	G 	SI2 	3EX  	266130 	
0.731 	H 	VS1 	3EX  	302260 	
0.719 	H 	VS1 	3EX  	273510 	
0.709 	H 	VS1 	3EX  	288990 	
0.703 	H 	VS1 	3EX  	277190 	
0.735 	H 	VS2 	3EX  	280140 	
0.704 	H 	VS2 	3EX  	287510 	
0.702 	H 	VS2 	3EX  	267610 	
0.706 	H 	SI1 	3EX  	249920 	
0.664 	D 	FL 	3EX  	766690 	sold
0.689 	D 	IF 	3EX  	594190 	
0.683 	D 	IF 	3EX  	589030 	GIA 
0.631 	D 	IF 	3EX  	544800 	GIA 
0.615 	D 	IF 	3EX  	535210 	GIA 
0.608 	D 	IF 	3EX  	524890 	
0.607 	D 	IF 	3EX  	523420 	
0.606 	D 	IF 	3EX  	518990 	
0.603 	D 	IF 	3EX  	524150 	GIA 
0.650 	D 	VVS1 	3EX  	441590 	GIA 
0.646 	D 	VVS1 	3EX  	438640 	GIA 
0.622 	D 	VVS1 	3EX  	401780 	
0.622 	D 	VVS1 	3EX  	401780 	
0.614 	D 	VVS1 	3EX  	400300 	
0.608 	D 	VVS1 	3EX  	396620 	
0.608 	D 	VVS1 	3EX  	396620 	
0.606 	D 	VVS1 	3EX  	395140 	
0.646 	D 	VVS2 	3EX  	381870 	GIA 
0.637 	D 	VVS2 	3EX  	376710 	GIA 
0.631 	D 	VVS2 	3EX  	373030 	sold
0.617 	D 	VVS2 	3EX  	352390 	
0.612 	D 	VVS2 	3EX  	341330 	
0.611 	D 	VVS2 	3EX  	340590 	
0.606 	D 	VVS2 	3EX  	337640 	
0.602 	D 	VVS2 	3EX  	356070 	GIA 
0.660 	D 	VS1 	3EX  	350170 	GIA 
0.641 	D 	VS1 	3EX  	339850 	GIA 
0.634 	D 	VS1 	3EX  	319210 	
0.627 	D 	VS1 	3EX  	336910 	GIA 
0.613 	D 	VS1 	3EX  	308150 	
0.611 	D 	VS1 	3EX  	307420 	
0.604 	D 	VS1 	3EX  	303730 	
0.640 	D 	VS2 	3EX  	295620 	GIA 
0.632 	D 	VS2 	3EX  	291940 	
0.617 	D 	VS2 	3EX  	280880 	
0.617 	D 	VS2 	3EX  	277190 	
0.604 	D 	VS2 	3EX  	274980 	
0.602 	D 	VS2 	3EX  	269820 	
0.687 	D 	SI1 	3EX  	275720 	
0.658 	D 	SI1 	3EX  	259500 	
0.618 	D 	SI1 	3EX  	244020 	
0.615 	D 	SI1 	3EX  	242540 	GIA 
0.615 	D 	SI1 	3EX  	234430 	
0.600 	D 	SI1 	3EX  	228540 	
0.680 	E 	IF 	3EX  	462230 	GIA 
0.666 	E 	IF 	3EX  	420950 	sold
0.663 	E 	IF 	3EX  	432740 	
0.644 	E 	IF 	3EX  	437900 	GIA 
0.630 	E 	IF 	3EX  	428320 	GIA 
0.629 	E 	IF 	3EX  	401780 	
0.617 	E 	IF 	3EX  	402520 	
0.643 	E 	VVS1 	3EX  	349440 	GIA 
