carat colour clarity cut cost fluorescence size certificate
0.405 	D 	VVS2 	3Ex  	157022 	None 	4.75-4.79x2.94 	-
0.404 	D 	VVS2 	3Ex  	156645 	None 	4.78-4.82x2.89 	-
0.400 	D 	VVS2 	3Ex  	155137 	Faint 	4.71-4.74x2.89 	-
0.441 	E 	VVS2 	3Ex  	147903 	Medium 	4.88-4.89x3.01 	-
0.425 	E 	VVS2 	3Ex  	142695 	Medium 	4.84-4.85x2.88 	-
0.419 	E 	VVS2 	3Ex  	140742 	None 	4.81-4.82x2.94 	-
0.419 	E 	VVS2 	3Ex  	140742 	Faint 	4.77-4.82x2.97 	-
0.413 	E 	VVS2 	3Ex  	138789 	None 	4.75-4.79x2.94 	-
0.410 	E 	VVS2 	3Ex  	137812 	Faint 	4.79-4.80x2.93 	-
0.408 	E 	VVS2 	3Ex  	137161 	Faint 	4.74-4.77x2.94 	-
0.406 	E 	VVS2 	3Ex  	136510 	Faint 	4.73-4.76x2.94 	-
0.443 	F 	VVS2 	3Ex  	130878 	Faint 	4.88-4.91x3.01 	-
0.422 	F 	VVS2 	3Ex  	124880 	None 	4.84-4.87x2.94 	-
0.411 	F 	VVS2 	3Ex  	121739 	None 	4.80-4.82x2.92 	sold
0.406 	F 	VVS2 	3Ex  	120311 	None 	4.79-4.82x2.92 	-
0.423 	G 	VVS2 	3Ex  	110509 	None 	4.77-4.81x2.98 	sold
0.419 	G 	VVS2 	3Ex  	109505 	None 	4.80-4.81x2.96 	sold
0.453 	D 	VS1 	3Ex  	156089 	Faint 	4.97-4.99x3.01 	-
0.433 	E 	VS1 	3Ex  	133023 	None 	4.89-4.91x2.96 	-
0.410 	E 	VS1 	3Ex  	121453 	Faint 	4.70-4.74x2.95 	sold
0.406 	E 	VS1 	3Ex  	120311 	Faint 	4.71-4.75x2.92 	sold
0.409 	F 	VS1 	3Ex  	109572 	Faint 	4.76-4.80x2.94 	sold
0.408 	F 	VS1 	3Ex  	109315 	Faint 	4.79-4.82x2.93 	sold
0.413 	H 	VS1 	3Ex  	91087 	None 	4.79-4.80x2.95 	sold
0.408 	H 	VS1 	3Ex  	90037 	Faint 	4.77-4.79x2.93 	sold
0.404 	D 	VS2 	3Ex  	116770 	Medium 	4.73-4.75x2.92 	-
0.320 	D 	IF 	3Ex  	160471 	None 	4.38-4.39x2.69 	GIA
0.310 	D 	IF 	3Ex  	155757 	None 	4.30-4.34x2.69 	GIA
0.398 	D 	VVS1 	3Ex  	148115 	None 	4.71-4.74x2.91 	-
0.381 	D 	VVS1 	3Ex  	135173 	Medium 	4.64-4.66x2.88 	-
0.365 	D 	VVS1 	3Ex  	129680 	None 	4.60-4.61x2.81 	-
0.361 	D 	VVS1 	3Ex  	128306 	Faint 	4.58-4.60x2.81 	-
0.359 	D 	VVS1 	3Ex  	127620 	Strong 	4.59-4.61x2.78 	-
0.344 	D 	VVS1 	3Ex  	122469 	None 	4.52-4.56x2.74 	-
0.341 	D 	VVS1 	3Ex  	121439 	Faint 	4.49-4.52x2.76 	sold
0.328 	D 	VVS1 	3Ex  	116976 	None 	4.47-4.49x2.69 	sold
0.317 	D 	VVS1 	3Ex  	113199 	Faint 	4.37-4.40x2.71 	-
0.316 	D 	VVS1 	3Ex  	112856 	Faint 	4.38-4.39x2.68 	-
0.315 	D 	VVS1 	3Ex  	112512 	Medium 	4.38-4.40x2.67 	-
0.308 	D 	VVS1 	3Ex  	110109 	None 	4.32-4.35x2.67 	-
0.392 	E 	VVS1 	3Ex  	129895 	Medium 	4.72-4.73x2.90 	-
0.389 	E 	VVS1 	3Ex  	123216 	None 	4.71-4.74x2.83 	-
0.380 	E 	VVS1 	3Ex  	120466 	None 	4.67-4.70x2.83 	-
0.378 	E 	VVS1 	3Ex  	119855 	Faint 	4.64-4.67x2.84 	-
0.367 	E 	VVS1 	3Ex  	116494 	Medium 	4.57-4.59x2.87 	-
0.365 	E 	VVS1 	3Ex  	115883 	Faint 	4.59-4.61x2.81 	-
0.362 	E 	VVS1 	3Ex  	114966 	None 	4.56-4.60x2.81 	-
0.359 	E 	VVS1 	3Ex  	114049 	Medium 	4.57-4.58x2.78 	-
0.355 	E 	VVS1 	3Ex  	112827 	Medium 	4.53-4.55x2.79 	-
0.344 	E 	VVS1 	3Ex  	109466 	None 	4.51-4.53x2.75 	-
0.340 	E 	VVS1 	3Ex  	113494 	None 	4.48-4.51x2.73 	GIA
0.334 	E 	VVS1 	3Ex  	106411 	Faint 	4.51-4.53x2.72 	-
0.324 	E 	VVS1 	3Ex  	103355 	Faint 	4.40-4.42x2.73 	-
0.318 	E 	VVS1 	3Ex  	101522 	None 	4.36-4.39x2.69 	-
0.308 	E 	VVS1 	3Ex  	98466 	Faint 	4.32-4.34x2.69 	-
0.380 	F 	VVS1 	3Ex  	108097 	None 	4.64-4.67x2.85 	sold
0.373 	F 	VVS1 	3Ex  	106186 	None 	4.62-4.63x2.84 	-
0.369 	F 	VVS1 	3Ex  	105094 	None 	4.63-4.67x2.82 	-
0.365 	F 	VVS1 	3Ex  	104002 	Faint 	4.58-4.60x2.81 	-
0.356 	F 	VVS1 	3Ex  	101545 	Faint 	4.53-4.56x2.80 	-
0.345 	F 	VVS1 	3Ex  	98542 	Faint 	4.51-4.55x2.77 	-
0.334 	F 	VVS1 	3Ex  	95539 	Medium 	4.46-4.47x2.73 	-
0.331 	F 	VVS1 	3Ex  	94720 	Faint 	4.44-4.46x2.73 	-
0.328 	F 	VVS1 	3Ex  	93901 	None 	4.39-4.43x2.74 	-
0.322 	F 	VVS1 	3Ex  	92263 	None 	4.46-4.48x2.66 	-
0.319 	F 	VVS1 	3Ex  	96694 	None 	4.34-4.38x2.70 	sold
0.314 	F 	VVS1 	3Ex  	90079 	Faint 	4.36-4.37x2.69 	-
0.304 	F 	VVS1 	3Ex  	87349 	Medium 	4.28-4.31x2.69 	-
0.387 	D 	VVS2 	3Ex  	125449 	Medium 	4.66-4.68x2.93 	-
0.384 	D 	VVS2 	3Ex  	124511 	None 	4.65-4.67x2.87 	-
0.373 	D 	VVS2 	3Ex  	121069 	None 	4.63-4.65x2.81 	-
0.364 	D 	VVS2 	3Ex  	118253 	Medium 	4.59-4.61x2.80 	-
0.363 	D 	VVS2 	3Ex  	117940 	None 	4.58-4.60x2.81 	-
0.361 	D 	VVS2 	3Ex  	117314 	None 	4.57-4.59x2.82 	-
0.359 	D 	VVS2 	3Ex  	116688 	None 	4.58-4.60x2.78 	-
0.343 	D 	VVS2 	3Ex  	111682 	Medium 	4.50-4.53x2.77 	-
0.332 	D 	VVS2 	3Ex  	108240 	Faint 	4.44-4.46x2.76 	-
0.332 	D 	VVS2 	3Ex  	108240 	Faint 	4.45-4.47x2.75 	-
0.321 	D 	VVS2 	3Ex  	104798 	None 	4.38-4.40x2.72 	-
0.312 	D 	VVS2 	3Ex  	101982 	None 	4.38-4.40x2.64 	-
0.304 	D 	VVS2 	3Ex  	104729 	Faint 	4.29-4.31x2.68 	GIA
0.303 	D 	VVS2 	3Ex  	99166 	Medium 	4.29-4.31x2.66 	-
0.302 	D 	VVS2 	3Ex  	98853 	None 	4.29-4.31x2.67 	-
0.375 	E 	VVS2 	3Ex  	106732 	Faint 	4.65-4.67x2.83 	-
0.361 	E 	VVS2 	3Ex  	102910 	None 	4.59-4.61x2.79 	-
0.359 	E 	VVS2 	3Ex  	102364 	None 	4.53-4.55x2.82 	-
0.352 	E 	VVS2 	3Ex  	100453 	None 	4.51-4.54x2.80 	sold
0.343 	E 	VVS2 	3Ex  	97996 	None 	4.51-4.53x2.75 	-
0.331 	E 	VVS2 	3Ex  	94720 	Faint 	4.41-4.43x2.74 	-
0.323 	E 	VVS2 	3Ex  	92536 	Faint 	4.42-4.45x2.72 	-
0.315 	E 	VVS2 	3Ex  	90352 	None 	4.39-4.41x2.68 	-
0.307 	E 	VVS2 	3Ex  	88168 	Medium 	4.31-4.33x2.68 	-
0.361 	F 	VVS2 	3Ex  	90022 	None 	4.58-4.60x2.78 	-
0.358 	F 	VVS2 	3Ex  	89310 	Strong 	4.58-4.60x2.79 	-
0.357 	F 	VVS2 	3Ex  	89073 	Strong 	4.53-4.55x2.82 	sold
0.350 	F 	VVS2 	3Ex  	87412 	None 	4.53-4.55x2.77 	-
0.343 	F 	VVS2 	3Ex  	85751 	Medium 	4.49-4.53x2.78 	-
0.335 	F 	VVS2 	3Ex  	83853 	Medium 	4.46-4.47x2.75 	-
0.324 	F 	VVS2 	3Ex  	81242 	None 	4.41-4.44x2.70 	-
0.318 	F 	VVS2 	3Ex  	79818 	None 	4.36-4.39x2.68 	-
0.316 	F 	VVS2 	3Ex  	79344 	Faint 	4.38-4.41x2.67 	-
0.314 	F 	VVS2 	3Ex  	78869 	None 	4.34-4.38x2.72 	-
0.348 	G 	VVS2 	3Ex  	78168 	Medium 	4.52-5.54x2.78 	sold
0.344 	G 	VVS2 	3Ex  	77319 	Faint 	4.48-4.51x2.77 	sold
0.338 	G 	VVS2 	3Ex  	76047 	None 	4.49-4.51x2.72 	sold
0.335 	G 	VVS2 	3Ex  	75411 	None 	4.45-4.47x2.72 	-
0.327 	G 	VVS2 	3Ex  	73714 	Medium 	4.39-4.42x2.75 	-
0.325 	G 	VVS2 	3Ex  	73290 	Medium 	4.43-4.47x2.71 	-
0.323 	G 	VVS2 	3Ex  	72865 	Medium 	4.40-4.42x2.70 	-
0.322 	G 	VVS2 	3Ex  	72653 	Medium 	4.39-4.42x2.71 	-
0.313 	G 	VVS2 	3Ex  	70744 	Strong 	4.35-4.37x2.68 	-
0.306 	G 	VVS2 	3Ex  	69260 	Faint 	4.30-4.33x2.68 	-
0.304 	G 	VVS2 	3Ex  	68835 	None 	4.32-4.33x2.68 	sold
0.341 	D 	VS1 	3Ex  	98524 	None 	4.49-4.52x2.75 	-
0.325 	D 	VS1 	3Ex  	94106 	Medium 	4.11-4.12x2.71 	-
0.324 	D 	VS1 	3Ex  	93830 	Faint 	4.36-4.41x2.72 	-
0.318 	D 	VS1 	3Ex  	92173 	Faint 	4.41-4.43x2.67 	-
0.310 	D 	VS1 	3Ex  	89964 	None 	4.37-4.39x2.68 	-
0.303 	D 	VS1 	3Ex  	93280 	None 	4.29-4.31x2.68 	GIA
0.313 	E 	VS1 	3Ex  	78961 	None 	4.36-4.38x2.69 	-
0.312 	E 	VS1 	3Ex  	78722 	None 	4.40-4.42x2.65 	-
0.305 	E 	VS1 	3Ex  	77054 	None 	4.35-4.39x2.62 	-
0.305 	E 	VS1 	3Ex  	77054 	None 	4.31-4.33x2.67 	-
0.303 	E 	VS1 	3Ex  	76577 	None 	4.37-4.38x2.66 	-
0.301 	E 	VS1 	3Ex  	76100 	None 	4.27-4.30x2.67 	-
0.389 	F 	VS1 	3Ex  	90132 	None 	4.69-4.71x2.85 	sold
0.330 	F 	VS1 	3Ex  	77122 	None 	4.49-4.50x2.73 	sold
0.318 	F 	VS1 	3Ex  	74476 	None 	4.38-4.40x2.69 	-
0.312 	F 	VS1 	3Ex  	73153 	Faint 	4.35-4.37x2.67 	-
0.308 	F 	VS1 	3Ex  	72271 	None 	4.30-4.35x2.69 	-
0.304 	F 	VS1 	3Ex  	71389 	Medium 	4.30-4.32x2.66 	-
0.305 	G 	VS1 	3Ex  	66165 	None 	4.38-4.41x2.61 	-
0.385 	H 	VS1 	3Ex  	77122 	Strong 	4.67-4.60x2.87 	sold
0.338 	H 	VS1 	3Ex  	68239 	None 	4.46-4.48x2.74 	-
0.313 	H 	VS1 	3Ex  	63514 	Strong 	4.35-4.38x2.68 	-
0.347 	D 	VS2 	3Ex  	87793 	None 	4.52-4.54x2.77 	sold
0.336 	D 	VS2 	3Ex  	85148 	Medium 	4.49-4.51x2.72 	-
0.327 	D 	VS2 	3Ex  	82984 	Faint 	4.40-4.42x2.73 	-
0.320 	D 	VS2 	3Ex  	81301 	None 	4.43-4.45x2.68 	-
0.313 	D 	VS2 	3Ex  	79618 	None 	4.35-4.37x2.69 	-
0.307 	D 	VS2 	3Ex  	78175 	Medium 	4.38-4.40x2.64 	-
0.305 	D 	VS2 	3Ex  	77694 	Faint 	4.37-4.38x2.65 	-
