carat colour clarity cut cost fluorescence size certificate
2.123 	F 	VS1 	3Ex  	4246042 	Strong 	8.18-8.21x5.12 	GIA
0.725 	D 	VVS1 	3Ex  	599576 	Medium 	5.71-5.76x3.57 	GIA
0.721 	D 	VVS1 	3Ex  	596321 	Medium 	5.78-5.80x3.52 	GIA
0.720 	D 	VVS1 	3Ex  	595507 	Faint 	5.71-5.75x3.54 	GIA
0.710 	D 	VVS1 	3Ex  	582120 	Strong 	5.73-5.74x3.53 	-
0.707 	D 	VVS1 	3Ex  	584928 	Faint 	5.67-5.70x3.54 	GIA
0.732 	E 	VVS1 	3Ex  	476277 	Strong 	5.76-5.78x3.57 	-
0.713 	E 	VVS1 	3Ex  	464028 	None 	5.68-5.77x3.55 	-
0.712 	E 	VVS1 	3Ex  	468633 	Medium 	5.67-5.70x3.56 	GIA
0.707 	E 	VVS1 	3Ex  	460160 	Faint 	5.76-5.79x3.53 	-
0.702 	E 	VVS1 	3Ex  	456936 	Medium 	5.76-5.80x3.51 	-
0.725 	F 	VVS1 	3Ex  	436747 	Strong 	5.75-5.77x3.60 	-
0.721 	F 	VVS1 	3Ex  	439611 	None 	5.70-5.73x3.58 	sold
0.703 	F 	VVS1 	3Ex  	428876 	Medium 	5.65-5.67x3.55 	GIA
0.702 	F 	VVS1 	3Ex  	423030 	Faint 	5.73-5.76x3.50 	-
0.795 	D 	VVS2 	3Ex  	576161 	Faint 	5.94-5.97x3.68 	-
0.729 	D 	VVS2 	3Ex  	504196 	Faint 	5.82-5.85x3.57 	-
0.722 	D 	VVS2 	3Ex  	499396 	None 	5.74-5.77x3.55 	-
0.721 	D 	VVS2 	3Ex  	498711 	None 	5.76-5.76x3.57 	sold
0.716 	D 	VVS2 	3Ex  	500532 	Medium 	5.76-5.77x3.54 	GIA
0.715 	D 	VVS2 	3Ex  	494597 	None 	5.79-5.81x3.51 	-
0.712 	D 	VVS2 	3Ex  	492540 	None 	5.69-5.70x3.56 	-
0.706 	D 	VVS2 	3Ex  	493676 	Medium 	5.65-5.68x3.52 	GIA
0.741 	E 	VVS2 	3Ex  	460098 	Medium 	5.76-5.78x3.59 	GIA
0.722 	E 	VVS2 	3Ex  	443297 	Faint 	5.81-5.83x3.51 	-
0.708 	E 	VVS2 	3Ex  	434786 	None 	5.82-5.85x3.47 	-
